training_points,kernel,mean_accuracy,std_accuracy
2,Quantum (sim.),0.525,0.19461500456028566
3,Quantum (sim.),0.515,0.15898113095584643
4,Quantum (sim.),0.57,0.10535653752852739
5,Quantum (sim.),0.545,0.17168284713389395
6,Quantum (sim.),0.5699999999999998,0.1268857754044952
7,Quantum (sim.),0.6049999999999999,0.14991664350564948
8,Quantum (sim.),0.5850000000000001,0.13518505834595773
9,Quantum (sim.),0.6000000000000001,0.18439088914585774
10,Quantum (sim.),0.595,0.13219304066402288
11,Quantum (sim.),0.5800000000000001,0.15033296378372907
12,Quantum (sim.),0.58,0.132664991614216
13,Quantum (sim.),0.5499999999999999,0.15
14,Quantum (sim.),0.5650000000000001,0.13518505834595773
15,Quantum (sim.),0.5799999999999998,0.13999999999999999
16,Quantum (sim.),0.565,0.13518505834595773
17,Quantum (sim.),0.59,0.12206555615733702
18,Quantum (sim.),0.605,0.14309088021254185
19,Quantum (sim.),0.6199999999999999,0.10770329614269007
20,Quantum (sim.),0.5999999999999999,0.13038404810405296
21,Quantum (sim.),0.61,0.13
22,Quantum (sim.),0.6100000000000001,0.1374772708486752
2,Angular RBF,0.54,0.1881488772222678
3,Angular RBF,0.45999999999999996,0.1319090595827292
4,Angular RBF,0.53,0.17058722109231983
5,Angular RBF,0.51,0.16703293088490065
6,Angular RBF,0.475,0.16393596310755001
7,Angular RBF,0.5,0.130384048104053
8,Angular RBF,0.52,0.1503329637837291
9,Angular RBF,0.52,0.1630950643030009
10,Angular RBF,0.48999999999999994,0.10908712114635713
11,Angular RBF,0.5,0.10488088481701516
12,Angular RBF,0.5349999999999999,0.12359207094308272
13,Angular RBF,0.53,0.12288205727444507
14,Angular RBF,0.5349999999999999,0.13518505834595773
15,Angular RBF,0.54,0.14966629547095764
16,Angular RBF,0.535,0.17109938632268673
17,Angular RBF,0.58,0.1503329637837291
18,Angular RBF,0.57,0.11874342087037916
19,Angular RBF,0.58,0.17204650534085253
20,Angular RBF,0.5700000000000001,0.1676305461424021
21,Angular RBF,0.5750000000000001,0.17284386017443604
22,Angular RBF,0.5700000000000001,0.16763054614240208
2,Cosine-dist exp,0.54,0.1881488772222678
3,Cosine-dist exp,0.46499999999999997,0.13518505834595773
4,Cosine-dist exp,0.48500000000000004,0.17109938632268673
5,Cosine-dist exp,0.4699999999999999,0.13453624047073712
6,Cosine-dist exp,0.495,0.1532155344604456
7,Cosine-dist exp,0.49499999999999994,0.13592277219068186
8,Cosine-dist exp,0.5450000000000002,0.1499166435056495
9,Cosine-dist exp,0.52,0.13999999999999999
10,Cosine-dist exp,0.5,0.14832396974191325
11,Cosine-dist exp,0.49499999999999994,0.12835497652993436
12,Cosine-dist exp,0.515,0.15898113095584646
13,Cosine-dist exp,0.5,0.10954451150103321
14,Cosine-dist exp,0.5,0.14832396974191325
15,Cosine-dist exp,0.5149999999999999,0.11079259903080169
16,Cosine-dist exp,0.525,0.15124483462254174
17,Cosine-dist exp,0.54,0.16552945357246848
18,Cosine-dist exp,0.55,0.18027756377319942
19,Cosine-dist exp,0.575,0.17853571071357124
20,Cosine-dist exp,0.5700000000000001,0.20273134932713296
21,Cosine-dist exp,0.53,0.20760539492026692
22,Cosine-dist exp,0.5050000000000001,0.19615045245933033
2,Gaussian RBF (l=1),0.54,0.1881488772222678
3,Gaussian RBF (l=1),0.46499999999999997,0.13143439428094914
4,Gaussian RBF (l=1),0.53,0.17058722109231983
5,Gaussian RBF (l=1),0.515,0.17109938632268673
6,Gaussian RBF (l=1),0.475,0.16393596310755001
7,Gaussian RBF (l=1),0.485,0.13518505834595773
8,Gaussian RBF (l=1),0.48999999999999994,0.12999999999999998
9,Gaussian RBF (l=1),0.51,0.14106735979665883
10,Gaussian RBF (l=1),0.4849999999999999,0.1194780314534852
11,Gaussian RBF (l=1),0.505,0.12439855304624728
12,Gaussian RBF (l=1),0.5,0.12649110640673517
13,Gaussian RBF (l=1),0.5349999999999999,0.1388344337691482
14,Gaussian RBF (l=1),0.52,0.12884098726725124
15,Gaussian RBF (l=1),0.545,0.14309088021254185
16,Gaussian RBF (l=1),0.52,0.15362291495737215
17,Gaussian RBF (l=1),0.59,0.1445683229480096
18,Gaussian RBF (l=1),0.58,0.14
19,Gaussian RBF (l=1),0.5700000000000001,0.1705872210923198
20,Gaussian RBF (l=1),0.5700000000000001,0.18734993995195195
21,Gaussian RBF (l=1),0.5750000000000001,0.17284386017443604
22,Gaussian RBF (l=1),0.575,0.17284386017443606
2,Random acquisition,0.525,0.19461500456028566
3,Random acquisition,0.48999999999999994,0.14106735979665883
4,Random acquisition,0.46499999999999997,0.16515144564913742
5,Random acquisition,0.485,0.16515144564913745
6,Random acquisition,0.5599999999999999,0.14966629547095764
7,Random acquisition,0.5599999999999999,0.15297058540778352
8,Random acquisition,0.5700000000000001,0.1345362404707371
9,Random acquisition,0.5549999999999999,0.12031209415515964
10,Random acquisition,0.6099999999999999,0.11789826122551596
11,Random acquisition,0.6649999999999999,0.12359207094308274
12,Random acquisition,0.6149999999999999,0.13143439428094916
13,Random acquisition,0.6249999999999998,0.12196310917650469
14,Random acquisition,0.5949999999999999,0.14991664350564946
15,Random acquisition,0.6149999999999999,0.12359207094308275
16,Random acquisition,0.615,0.14585952145814818
17,Random acquisition,0.595,0.13955285736952863
18,Random acquisition,0.585,0.149248115565993
19,Random acquisition,0.58,0.132664991614216
20,Random acquisition,0.5999999999999999,0.11401754250991378
21,Random acquisition,0.6249999999999999,0.1336974195712094
22,Random acquisition,0.6100000000000001,0.1374772708486752
